Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
FL1011,Florida,FL,12,5,dealer license,,handgun,,,,,,,,,No law requiring dealer license for handguns,,,,,1,,,,,
FL1012,Florida,FL,12,7,minimum age,youth possession,long gun,Restrictive,Implement,1994-01-01,,1994,1,1,Fla. Stat. § 790.22(3),"A minor under 18 years of age may not possess a firearm, other than an unloaded firearm at his or her home, unless:
     (a) The minor is engaged in a lawful hunting activity and is:
         1. At least 16 years of age; or
         2. Under 16 years of age and supervised by an adult.
     (b) The minor is engaged in a lawful marksmanship competition or practice or other lawful recreational shooting activity and is:
         1. At least 16 years of age; or
         2. Under 16 years of age and supervised by an adult who is acting with the consent of the minor's parent or guardian.
     (c) The firearm is unloaded and is being transported by the minor directly to or from an event authorized in paragraph (a) or paragraph (b).",,,,,,18,,,,
FL1013,Florida,FL,12,7,minimum age,youth possession,handgun,,,,,,,,,No law imposing minimum age for youth possession of handguns,1994-01-01,1994,1,1,1,,,,,H
FL1014,Florida,FL,12,7,minimum age,purchase and sale,handgun,Restrictive,Implement,1881-01-01,"Not sure about day + month, so using January 1.",1881,1,1,Fla. Stat. § 5588 (3627),"Whoever sells, hires, barters, lends or gives any minor under sixteen years of age any pistol, dirk or other weapon other than an ordinary pocket knife or a gun or rifle used for hunting, without the permission of the parent of such minor, or the person javign charge of such minor...shall be punished by imprisonment not exceeding three months, or by fine not exceeding fifty dollars.",1965-07-01,1965,7,1,,16,,,,D
FL1015,Florida,FL,12,7,minimum age,purchase and sale,long gun,Restrictive,Modify,1965-07-01,,1965,7,1,Fla. Stat. § 790.17(2); Fla. Stat. § 790.18,".17-(2)  (a) A person may not knowingly or willfully sell or transfer a firearm to a minor under 18 years of age, except that a person may transfer ownership of a firearm to a minor with permission of the parent or guardian..18-It is unlawful for any dealer in arms to sell or transfer to a minor any firearm, pistol, Springfield rifle or other repeating rifle, bowie knife or dirk knife, brass knuckles, or electric weapon or device.",2018-03-09,2018,3,9,1,18,,,,
FL1017,Florida,FL,12,8,open carry,not restricted,long gun,,,,,,,,,No law restricting open carry for long guns,1987-10-09,1987,10,9,1,,,,,
FL1018,Florida,FL,12,8,open carry,prohibited,long gun,Restrictive,Implement,1987-10-09,,1987,10,9,Fla. Stat. Ann § 790.053,"Except as otherwise provided by law and in subsection (2), it is unlawful for any person to openly carry on or about his or her person any firearm or electric weapon or device. It is not a violation of this section for a person licensed to carry a concealed firearm as provided in s. 790.06(1), and who is lawfully carrying a firearm in a concealed manner, to briefly and openly display the firearm to the ordinary sight of another person, unless the firearm is intentionally displayed in an angry or threatening manner, not in necessary self-defense.",,,,,,,,,,
FL1019,Florida,FL,12,11,registration,,handgun,,,,,,,,,No law requiring registration of handguns,,,,,1,,,,,
FL1020,Florida,FL,12,13,waiting period,,handgun,Restrictive,Implement,1991-10-01,,1991,10,1,Fla. Stat. § 790.0655(1)(a),"(1)(a) There shall be a mandatory 3-day waiting period, which shall be 3 days, excluding weekends and legal holidays, between the purchase and the delivery at retail of any handgun.",2018-03-09,2018,3,9,,,3,"As of 1998, Florida Constitution. art. I, § 8(b) also allows counties to impose a ""3 to 5-day waiting period.""",,
FL1021,Florida,FL,12,13,waiting period,,handgun,,,,,,,,,No law imposing waiting period for purchase of handguns,1991-10-01,1991,10,1,1,,,,,G
FL1022,Florida,FL,12,1,background checks,sales from dealer,long gun,,,,,,,,,No law requiring background checks for sales from dealers of long guns,1990-10-01,1990,10,1,1,,,,,
FL1023,Florida,FL,12,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,,,,1,,,,,
FL1024,Florida,FL,12,5,dealer license,,long gun,,,,,,,,,No law requiring dealer license for long guns,,,,,1,,,,,
FL1025,Florida,FL,12,8,open carry,prohibited,handgun,Restrictive,Implement,1987-10-09,,1987,10,9,Fla. Stat. Ann § 790.053,"Except as otherwise provided by law and in subsection (2), it is unlawful for any person to openly carry on or about his or her person any firearm or electric weapon or device. It is not a violation of this section for a person licensed to carry a concealed firearm as provided in s. 790.06(1), and who is lawfully carrying a firearm in a concealed manner, to briefly and openly display the firearm to the ordinary sight of another person, unless the firearm is intentionally displayed in an angry or threatening manner, not in necessary self-defense.",,,,,,,,,,
FL1026,Florida,FL,12,11,registration,,long gun,,,,,,,,,No law requiring registration of long guns,,,,,1,,,,,
FL1027,Florida,FL,12,1,background checks,private sales,long gun,,,,,,,,,No law requiring background checks for private sales of long guns,,,,,1,,,,,
FL1028,Florida,FL,12,7,minimum age,youth possession,handgun,Restrictive,Implement,1994-01-01,,1994,1,1,Fla. Stat. § 790.22(3),"A minor under 18 years of age may not possess a firearm, other than an unloaded firearm at his or her home, unless:
     (a) The minor is engaged in a lawful hunting activity and is:
         1. At least 16 years of age; or
         2. Under 16 years of age and supervised by an adult.
     (b) The minor is engaged in a lawful marksmanship competition or practice or other lawful recreational shooting activity and is:
         1. At least 16 years of age; or
         2. Under 16 years of age and supervised by an adult who is acting with the consent of the minor's parent or guardian.
     (c) The firearm is unloaded and is being transported by the minor directly to or from an event authorized in paragraph (a) or paragraph (b).",,,,,,18,,,,
FL1029,Florida,FL,12,7,minimum age,purchase and sale,handgun,Restrictive,Modify,1965-07-01,,1965,7,1,Fla. Stat. § 790.17(2); Fla. Stat. § 790.18,".17-(2)  (a) A person may not knowingly or willfully sell or transfer a firearm to a minor under 18 years of age, except that a person may transfer ownership of a firearm to a minor with permission of the parent or guardian..18-It is unlawful for any dealer in arms to sell or transfer to a minor any firearm, pistol, Springfield rifle or other repeating rifle, bowie knife or dirk knife, brass knuckles, or electric weapon or device.",2018-03-09,2018,3,9,1,18,,,,
FL1030,Florida,FL,12,13,waiting period,,long gun,,,,,,,,,No law imposing waiting period for purchase of long guns,,,,,1,,,,,
FL1031,Florida,FL,12,7,minimum age,purchase and sale,handgun,Restrictive,Modify,2018-03-09,,2018,3,9,Fla. Stat. § 790.065(13),"A person younger than 21 years of age may not purchase a firearm. The sale or transfer of a firearm to a person younger than 21 years of age may not be made or facilitated by a licensed importer, licensed manufacturer, or licensed dealer. ",,,,,,21,,,,
FL1032,Florida,FL,12,7,minimum age,purchase and sale,long gun,Restrictive,Modify,2018-03-09,,2018,3,9,Fla. Stat. § 790.065(13)," A person younger than 21 years of age may not purchase a firearm. The sale or transfer of a firearm to a person younger than 21 years of age may not be made or facilitated by a licensed importer, licensed manufacturer, or licensed dealer. ",,,,,,21,,,,
FL1033,Florida,FL,12,13,waiting period,,handgun,Restrictive,Modify,2018-03-09,,2018,3,9,Florida Statutes Ch 790 Sec 0655,"Section 12. Section 790.0655, Florida Statutes, is amended to read: 691 790.0655 Purchase and delivery of firearms handguns; mandatory waiting period; exceptions; penalties.— (1)(a)A mandatory waiting period is imposed between the purchase and delivery of a firearm. The mandatory waiting period is 3 days, excluding weekends and legal holidays, or expires upon the completion of the records checks required under s. 790.065, whichever occurs later",,,,,,,3,This law will extend the waiting period if all specified background checks are not completed in three days.,"Some sales are exempt from the waiting period law, including purchases by people with hunting licenses, law enforcement officers, and servicemembers",
FL1034,Florida,FL,12,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement,1998-07-01,,1998,7,1,Fla. Stat. § 741.30(3)(g),"A final judgment on injunction for protection against domestic violence entered pursuant to this section must, on its face, indicate that it is a violation of s. 790.233, and a first degree misdemeanor, for the respondent to have in his or her care, custody, possession, or control any firearm or ammunition.",,,,,,,,,,
FL1035,Florida,FL,12,10,prohibited possessor,dvro : discretionary surrender,handgun and long gun,Restrictive,Modify,2003-01-01,,2003,1,1,Fla. Stat. § 741.31(4)(a),"A person who willfully violates an injunction for protection against domestic violence issued pursuant to s. 741.30, or a foreign protection order accorded full faith and credit pursuant to s. 741.315, by: 8. Refusing to surrender firearms or ammunition if ordered to do so by the court
",,,,,,,,Judge has the ability to remove firearms from defendant but they do not have to. Some evaluations suggest only 16% of cases result in the gun removal provision that would require a surrender of firearms.,,
FL1036,Florida,FL,12,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement,2018-03-09,,2018,3,9,F.S.A. § 790.064,"(1) A person who has been adjudicated mentally defective or who has been committed to a mental institution, as those terms are defined in s. 790.065(2), may not own a firearm or possess a firearm until relief from the firearm possession and firearm ownership disability is obtained.",,,,,,,,The prohibition ends when relief from the firearm possession and firearm ownership disability is obtained.,,
FL1037,Florida,FL,12,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement,2018-03-09,,2018,3,9,W+L1422,"(1) A person who has been adjudicated mentally defective or who has been committed to a mental institution, as those terms are defined in s. 790.065(2), may not own a firearm or possess a firearm until relief from the firearm possession and firearm ownership disability is obtained.",,,,,,,,The prohibition ends when relief from the firearm possession and firearm ownership disability is obtained.,,
FL1038,Florida,FL,12,10,prohibited possessor,erpo,handgun and long gun,Restrictive,Implement,2018-07-01,,2018,7,1,Fla. Stat. § 790.401,"(a) “Petitioner” means a law enforcement officer or a law
enforcement agency that petitions a court for a risk protection order under this section. (b) “Respondent” means the individual who is identified as the respondent in a petition filed under this section.
(c) “Risk protection order” means a temporary ex parte order or a final order granted under this section.
(2) PETITION FOR A RISK PROTECTION ORDER.—There is created an action known as a petition for a risk protection order. (a) A petition for a risk protection order may be filed by a law enforcement officer or law enforcement agency. (b) An action under this section must be filed in the county where the petitioner’s law enforcement office is located or the county where the respondent resides.
(c) Such petition for a risk protection order does not require either party to be represented by an attorney.
(d) Notwithstanding any other law, attorney fees may not be awarded in any proceeding under this section.
(e) A petition must:
1. Allege that the respondent poses a significant danger of causing personal injury to himself or herself or others by having a firearm or any ammunition in his or her custody or control or by purchasing, possessing, or receiving a firearm or any ammunition, and must be accompanied by an affidavit made under oath stating the specific statements, actions, or facts that give rise to a reasonable fear of significant dangerous acts by the respondent;",,,,,,,,,,
FL1039,Florida,FL,12,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement,2018-07-01,,2018,7,1,Fla. Stat. § 790.401(4)(a),"A petitioner may request that a temporary ex parte risk protection order be issued before a hearing for a risk protection order, without notice to the respondent, by including in the petition detailed allegations based on personal knowledge that the respondent poses a significant danger of causing personal injury to himself or herself or others in the near future by having in his or her custody or control, or by purchasing, possessing, or receiving, a firearm or ammunition.",,,,,,,,"In urgent cases, a court may issue an emergency temporary ERPO, prior to providing notice and holding a hearing, if the court finds reasonable cause based on detailed allegations in the ERPO petition that the respondent poses a significant danger of causing personal injury to himself or herself or others in the near future by having in his or her custody or control, or by purchasing, possessing, or receiving, a firearm or ammunition. The temporary ERPO will generally only be in effect for up to 14 days, before the court holds a full hearing on whether to grant a longer ERPO",,
FL1040,Florida,FL,12,12,safety training required,,handgun,,,,,,,,,No law requiring safety training for handguns,,,,,1,,,(4) Current law as it relates to the permissible use of lethal force.,,
FL1041,Florida,FL,12,10,prohibited possessor,erpo,handgun and long gun,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,2018-07-01,2018,7,1,1,,,,,
FL1042,Florida,FL,12,10,prohibited possessor,dvro,handgun and long gun,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,1998-07-01,1998,7,1,1,,,,,
FL1043,Florida,FL,12,1,background checks,extra time,handgun,Restrictive,Implement,2018-03-09,,2018,3,9,Florida Statutes Ch 790 Sec 0655,"Section 12. Section 790.0655, Florida Statutes, is amended to read: 691 790.0655 Purchase and delivery of firearms handguns; mandatory waiting period; exceptions; penalties.— (1)(a)A mandatory waiting period is imposed between the purchase and delivery of a firearm. The mandatory waiting period is 3 days, excluding weekends and legal holidays, or expires upon the completion of the records checks required under s. 790.065, whichever occurs later",,,,,,,,This law will extend the waiting period if all specificed background checks are not completed in three days.,"Some sales are exempt from the waiting period law, including purchases by people with hunting licenses, law enforcement officers, and servicemembers",
FL1044,Florida,FL,12,12,safety training required,,long gun,,,,,,,,,No law requiring safety training for long guns,,,,,1,,,,,
FL1045,Florida,FL,12,7,minimum age,youth possession,long gun,,,,,,,,,No law imposing minimum age for youth possession of long guns,1994-01-01,1994,1,1,1,,,,,
FL1046,Florida,FL,12,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 
(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",,,,,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,
FL1047,Florida,FL,12,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement,1998-11-30,,1998,11,30,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;
(B) (i) the system provides the licensee with a unique identification number; or
(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and
(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",,,,,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,
FL1048,Florida,FL,12,8,open carry,not restricted,handgun,,,,,,,,,No law restricting open carry for handguns,1987-10-09,1987,10,9,1,,,,,
FL1049,Florida,FL,12,9,permit to purchase,,handgun,,,,,,,,,No law requiring permit for the purchase of a handgun,,,,,1,,,,,
FL1050,Florida,FL,12,9,permit to purchase,,long gun,,,,,,,,,No law requiring permit for the purchase of a long gun,,,,,1,,,,,
FL1051,Florida,FL,12,6,firearm sales restrictions,,handgun and long gun,,,,,,,,,No law imposing any firearm ban,,,,,1,,,,,
FL1052,Florida,FL,12,1,background checks,extra time,long gun,Restrictive,Implement,2018-03-09,,2018,3,9,Florida Statutes Ch 790 Sec 0655,"Section 12. Section 790.0655, Florida Statutes, is amended to read: 691 790.0655 Purchase and delivery of firearms handguns; mandatory waiting period; exceptions; penalties.— (1)(a)A mandatory waiting period is imposed between the purchase and delivery of a firearm. The mandatory waiting period is 3 days, excluding weekends and legal holidays, or expires upon the completion of the records checks required under s. 790.065, whichever occurs later",,,,,,,,This law will extend the waiting period if all specificed background checks are not completed in three days.,"Some sales are exempt from the waiting period law, including purchases by people with hunting licenses, law enforcement officers, and servicemembers",
FL1053,Florida,FL,12,14,firearm removal at scene of domestic violence,,handgun and long gun,,,,,,,,,No law concerning removal of firearms at scene of domestic violence incident,,,,,1,,,,,
FL1054,Florida,FL,12,13,firearms in college/university,,handgun and long gun,,,,,,,,,No law concerning firearms on college or university campus,1987-10-01,1987,10,1,1,,,,,
FL1055,Florida,FL,12,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement,1987-10-01,,1987,1,1987,West's F.S.A. § 790.06(12)(a),"A license issued under this section does not authorize any person to openly carry a handgun or carry a concealed weapon or firearm into: 13. Any college or university facility unless the licensee is a registered student, employee, or faculty member of such college or university and the weapon is a stun gun or nonlethal electric weapon or device designed solely for defensive purposes and the weapon does not fire a dart or projectile",,,,,,,,,"See Florida Carry, Inc. v. Univ. of N. Florida, 133 So. 3d 966, 977 (Fla. Ct. App. 2013) for excpeiton for CCW holders with firearms in parked cars.",
FL1056,Florida,FL,12,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement,1992-10-01,,1992,1,1992,West's F.S.A. § 790.115(2)(a),"A person shall not possess any firearm, electric weapon or device, destructive device, or other weapon as defined in s. 790.001(13), including a razor blade or box cutter, except as authorized in support of school-sanctioned activities, at a school-sponsored event or on the property of any school, school bus, or school bus stop....For the purposes of this section, “school” means any preschool, elementary school, middle school, junior high school, secondary school, career center, or postsecondary school, whether public or nonpublic.",,,,,,,,,,
FL1057,Florida,FL,12,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement,1992-10-01,,1992,1,1992,West's F.S.A. § 790.115(2)(a),"A person shall not possess any firearm, electric weapon or device, destructive device, or other weapon as defined in s. 790.001(13), including a razor blade or box cutter, except as authorized in support of school-sanctioned activities, at a school-sponsored event or on the property of any school, school bus, or school bus stop....For the purposes of this section, “school” means any preschool, elementary school, middle school, junior high school, secondary school, career center, or postsecondary school, whether public or nonpublic.",,,,,,,,,,
FL1058,Florida,FL,12,12,local laws preempted by state,,handgun and long gun,,,,,,,,,State law does not preempt local law,1987-05-12,1987,5,12,1,,,,,
FL1059,Florida,FL,12,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement,1987-05-12,,1987,12,1987,West's F.S.A. § 790.33(1),"Preemption.--Except as expressly provided by the State Constitution or general law, the Legislature hereby declares that it is occupying the whole field of regulation of firearms and ammunition, including the purchase, sale, transfer, taxation, manufacture, ownership, possession, storage, and transportation thereof, to the exclusion of all existing and future county, city, town, or municipal ordinances or any administrative regulations or rules adopted by local or state government relating thereto. Any such existing ordinances, rules, or regulations are hereby declared null and void.",,,,,,,,"Amended in 2011 to provide further sanctions: fines, firing of officials, and civil liability.","(4) Exceptions.--This section does not prohibit:
(a) Zoning ordinances that encompass firearms businesses along with other businesses, except that zoning ordinances that are designed for the purpose of restricting or prohibiting the sale, purchase, transfer, or manufacture of firearms or ammunition as a method of regulating firearms or ammunition are in conflict with this subsection and are prohibited;
(b) A duly organized law enforcement agency from enacting and enforcing regulations pertaining to firearms, ammunition, or firearm accessories issued to or used by peace officers in the course of their official duties;
(c) Except as provided in s. 790.251, any entity subject to the prohibitions of this section from regulating or prohibiting the carrying of firearms and ammunition by an employee of the entity during and in the course of the employee's official duties;
(d) A court or administrative law judge from hearing and resolving any case or controversy or issuing any opinion or order on a matter within the jurisdiction of that court or judge; or
(e) The Florida Fish and Wildlife Conservation Commission from regulating the use of firearms or ammunition as a method of taking wildlife and regulating the shooting ranges managed by the commission.",
FL1060,Florida,FL,12,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,,,,,,,,No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime,,,,,1,,,,,
FL1061,Florida,FL,12,11,required reporting of lost or stolen firearms,,handgun and long gun,,,,,,,,,No law requiring reporting of lost or stolen firearms,,,,,,,,,,
GA1001,Georgia,GA,13,1,background checks,private sales,handgun,,,,,,,,,No law requiring background checks for private sales of handguns,,,,,1,,,,,
GA1002,Georgia,GA,13,1,background checks,sales from dealer,handgun,Restrictive,Implement,1996-01-01,,1996,1,1,Ga Code Ann. § 16-11-170,"(a) It is the intention of this part to establish state regulations which are consistent with the policy and terms of the federal Brady Handgun Violence Prevention Act by providing a state background check law.
(b) This part shall in all respects be construed and administered in conformity with the provisions of the federal Brady Handgun Violence Prevention Act. Without limiting the generality of the foregoing, it is specifically intended that this part shall constitute a state law requiring verification by a state official that information available does not indicate that possession of a handgun by a proposed transferee would be in violation of law, as authorized under 18 U.S.C. Section 922(s)(1)(D).",,,,,,,,,,
GA1004,Georgia,GA,13,1,background checks,sales from dealer,handgun,,,,,,,,,No law requiring background checks for sales from dealers of handguns,1996-01-01,1996,1,1,1,,,,,
GA1005,Georgia,GA,13,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Modify,1976-07-01,,1976,7,1,Ga. Code § 26-2904 (1976),"26-2904. License to carry pistol or revolver. 
(a) The judge of the probate court of each county may, on application under oath and on payment of a fee of fifteen dollars, issue a license, either in term time or during vacation, valid for a period of three years, to residents of that county, authorizing them to carry any pistol or revolver. Applicants
shall submit the application for a license to the judge of the probate court on forms prescribed and furnished free of charge to such persons wishing to apply for the license. ...",1989-08-25,1989,8,25,1,,,,There is confusion about whether this was shall issue or may issue. See Cramer and Kopel (1994).,
GA1006,Georgia,GA,13,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement,1837-01-01,"Not sure about day + month, so using January 1.",1837,1,1,Ga. Code § 26-5101 (1935),"26-5101. (347 P. C.) Carrying concealed weapons. 
Any person having or carrying about his person, unless in an open manner and fully exposed to view, any kind of metal knucks, pistol, dirk, sword in a cane, spear, bowie knife, or any other kind of knives manufactured and sold for the purpose of offense and defense, shall be guilty of a misdemeanor. (Cobb, 848, 849. Acts 1882-3, p. 48; 1898, p. 60.)",1976-07-01,1976,7,1,,,,"Initial law, from 1837, prohibited posession, sale and all manner of carrying pistols.  Was held constitutional re: carrying pistols, void as to to other provisions in 1846. See Warner, ""The Uniform Pistol Act.""",,D
GA1007,Georgia,GA,13,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify,1989-08-25,,1989,8,25,Ga. Code Ann. § 16-11-129(a),"Application for weapons carry license or renewal license; term. The judge of the probate court of each county shall, on application under oath, on payment of a fee of $30.00, and on investigation of applicant pursuant to subsections (b) and (d) of this Code section, issue a weapons carry license or renewal license valid for a period of five years to any person whose domicile is in that county or who is on active duty with the United States armed forces and who is not a domiciliary of this state but who either resides in that county or on a military reservation located in whole or in part in that county at the time of such application. Such license or renewal license shall authorize that person to carry any weapon in any county of this state notwithstanding any change in that person's county of residence or state of domicile.",,,,,,,,,,
GA1008,Georgia,GA,13,3,castle doctrine,,handgun and long gun,Permissive,Implement,1833-01-01,"Not sure about day + month, so using January 1.",1833,1,1,"Georgia Penal Code, Fourth Division, Sec. 12 (1833)","Justifiable homicide is the killing of a human being … in self-defense, or in defense of habitation, property, or person, against one who manifestly intends or endeavors by violence or surprise to commit a felony on either; or against nay persons who manifestly intend and endeavor in a riotous and tumultuous manner to enter the habitation of another, for the purpose of assaulting or offering personal violence to any person, dwelling or being therein.",2006-07-01,2006,7,1,1,,,,,D
GA1009,Georgia,GA,13,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify,2006-07-01,,2006,7,1,Ga. Code Ann. § 16-3-23.1,"A person who uses threats or force in accordance with Code Section 16-3-21, relating to the use of force in defense of self or others, Code Section 16-3-23, relating to the use of force in defense of a habitation, or Code Section 16-3-24, relating to the use of force in defense of property other than a habitation, has no duty to retreat and has the right to stand his or her ground and use force as provided in said Code sections, including deadly force.",,,,,,,,,,
GA1010,Georgia,GA,13,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",1994-05-01,1994,5,1,1,,,,,
GA1011,Georgia,GA,13,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,Restrictive,Implement,1994-05-01,,1994,5,1,"Ga. Code Ann § 16-11-101.1(c,d)","(c) (1) It shall be unlawful for a parent or legal guardian to permit possession of a pistol or revolver by a minor if the parent or legal guardian knows of a minor's conduct which violates the provisions of Code Section 16-11-132 and fails to make reasonable efforts to prevent any such violation of Code Section 16-11-132.
(2) Notwithstanding any provisions of subsection (c) of Code Section 16-11-132 or any other law to the contrary, it shall be unlawful for any parent or legal guardian intentionally, knowingly, or recklessly to furnish to or permit a minor to possess a pistol or revolver if such parent or legal guardian is aware of a substantial risk that such minor will use a pistol or revolver to commit a felony offense or if such parent or legal guardian who is aware of such substantial risk fails to make reasonable efforts to prevent commission of the offense by the minor.
(3) In addition to any other act which violates this subsection, a parent or legal guardian shall be deemed to have violated this subsection if such parent or legal guardian furnishes to or permits possession of a pistol or revolver by any minor who has been convicted of a forcible felony or forcible misdemeanor, as defined in Code Section 16-1-3, or who has been adjudicated delinquent under the provisions of Article 1 of Chapter 11 of Title 15 for an offense which would constitute a forcible felony or forcible misdemeanor, as defined in Code Section 16-1-3, if such minor were an adult.
(d) Upon conviction of a violation of subsection (b) or (c) of this Code section, a person shall be guilty of a felony and punished by a fine not to exceed $5,000.00 or by imprisonment for not less than two nor more than five years, or both.",,,,,,,,,,
GA1012,Georgia,GA,13,5,dealer license,,handgun,Restrictive,Implement,1963-07-01,,1963,7,1,Ga. Code. Ann. § 43-16-2,"Any person, firm, retail dealer, wholesale dealer, pawnbroker, or corporation who shall sell, dispose of, or offer for sale, or cause or permit to be sold, disposed of, or offered for sale any pistol, revolver, or short-barreled firearm of less than fifteen (15) inches in length, whether the same shall be his own property or whether he shall sell the same as agents or employees of others, shall obtain from the Department of Public Safety a license permitting the sale of said caliber pistols and guns. Nothing in this chapter shall apply to or prohibit the casual sales of the articles referred to between individuals.",2014-07-01,2014,7,1,1,,,"According to the ""history"" on Lexis, this text hasn't changed since 1964, so even though this is the 1991 citation, it should be the same.",,
GA1013,Georgia,GA,13,5,dealer license,,handgun,Permissive,Repeal,2014-07-01,,2014,7,1,Ga. Code. Ann. § 43-16-2,"§§ 43-16-1 through 43-16-12 
   Reserved. Repealed by Ga. L. 2014, p. 599, § 1-14/HB 60, effective July 1, 2014.",,,,,,,,,,
GA1014,Georgia,GA,13,5,dealer license,,long gun,,,,,,,,,No law requiring dealer license for long guns,,,,,1,,,,,
GA1015,Georgia,GA,13,7,minimum age,youth possession,handgun,Restrictive,Implement,1994-07-01,,1994,7,1,Ga. Code. Ann. § 16-11-132(b),"Notwithstanding any other provisions of this part and except as otherwise provided in this Code section, it shall be unlawful for any person under the age of 18 years to possess or have under such person's control a handgun",,,,,,18,,,,
GA1016,Georgia,GA,13,7,minimum age,youth possession,handgun,,,,,,,,,No law imposing minimum age for youth possession of handguns,1994-07-01,1994,7,1,1,,,,,H
GA1017,Georgia,GA,13,7,minimum age,youth possession,long gun,,,,,,,,,No law imposing minimum purchase and sale age for long guns,,,,,1,,,,,H
GA1018,Georgia,GA,13,7,minimum age,purchase and sale,handgun,Restrictive,Implement,1969-07-01,,1969,7,1,Ga. Code Ann. § 26-2905,"Furnishing weapons to persons under 21 years of age


   A person is guilty of a misdemeanor when he knowingly sells to or furnishes to a person under the age of 21 years a pistol, metal knuckles, or knife designed for the purpose of offense and defense.

",1994-04-11,1994,4,11,1,21,,,,
GA1019,Georgia,GA,13,7,minimum age,purchase and sale,handgun,Permissive,Modify,1994-04-11,,1994,4,11,Ga. Code Ann. § 16-11-101.1(b),"(b) It shall be unlawful for a person intentionally, knowingly, or recklessly to sell or furnish a pistol or revolver to a minor, except that it shall be lawful for a parent or legal guardian to permit possession of a pistol or revolver by a minor for the purposes specified in subsection (c) of Code Section 16-11-132 unless otherwise expressly limited by subsection (c) of this Code section.",,,,,,18,,"Ga. Code Ann. § § 16-11-101.1(a)(1) defines ""minor"" as under 18.",,
